,At the end of the total population (ten thousand people),The male population (ten thousand people),Female population (ten thousand people),Urban population (ten thousand people),Rural population (ten thousand people),GDP(billion),urbanization rate,Grain output (ten thousand tons),The per capita grain(kg),urban per capita disposable income,rural per capita disposable income,Urban and rural income ratio
2020,141212,72357,68855,90220,50992,147727.31,63.89,66949,474,43834,17131,2.56
2019,141008,72039,68969,88426,52582,142799.37,60,66384,474.95,42359,16021,2.64
2018,140541,71864,68677,86433,54108,136051.28,59.58,65789,472,39251,14617,2.69
2017,140011,71650,68361,84343,55668,127666.85,58.52,66160,467,36396,13432,2.71
2016,139232,71307,67925,81924,57308,119486.96,57.35,61624,445.7,33616,12363,2.72
2015,138326,70857,67469,79302,59024,111994.63,56.1,62144,452.1,31195,11422,2.73
2014,137646,70522,67124,76738,60908,104765.6,54.77,60703,443.8,28844,10489,2.75
2013,136726,70063,66663,74502,62224,97640.15,53.73,60194,442.4,26955,8896,3.03
2012,135922,69660,66262,72175,63747,90610.89,52.57,58957,435.4,24565,7917,3.1
2011,134916,69161,65755,69927,64989,84010.78,51.27,57121,424,21810,6977,3.13
2010,134091,68748,65343,66978,67113,76696.65,49.95,54648,407.5,19109,5919,3.23
2009,133450,68647,64803,64512,68938,69323.32,46.59,53082,397.7,17175,5153,3.33
2008,132802,68357,64445,62403,70399,63366.95,45.68,52871,398,15781,4761,3.31
2007,132129,68048,64081,60633,71496,57787.93,44.94,50160,379.6,13786,4140,3.33
2006,131448,67728,63720,58288,73160,50588.49,43.9,49804,378.4,11759,3587,3.28
2005,130756,67375,63381,56212,74544,44879.99,42.99,48402,370.2,10493,3255,3.22
2004,129988,66976,63012,54283,75705,40288.77,41.76,46947,361.2,9422,2936,3.21
2003,129227,66556,62671,52376,76851,36589.16,40.53,43070,333.3,8472,2622,3.23
2002,128453,66115,62338,50212,78241,33252.11,39.09,45711,355.9,7703,2476,3.11
2001,127627,65672,61955,48064,79563,30470,37.66,45262,354.6,6860,2366,2.9
2000,126743,65437,61306,45906,80837,28124.45,36.22,46218,364.7,6280,2253,2.79
1999,125786,64692,61094,43748,82038,25923.18,,,,,,
1998,124761,63940,60821,41608,83153,24077.07,,,,,,
1997,123626,63131,60495,39449,84177,22327.16,,,,,,
1996,122389,62200,60189,37304,85085,20440.35,,,,,,
1995,121121,61808,59313,35174,85947,18594.25,,,,,,
1994,119850,61246,58604,34169,85681,16759.24,,,,,,
1993,118517,60472,58045,33173,85344,14824.34,,,,,,
1992,117171,59811,57360,32175,84996,13018.93,,,,,,
1991,115823,59466,56357,31203,84620,11398.5,,,,,,
1990,114333,58904,55429,30195,84138,10429.21,,,,,,
1989,112704,58099,54605,29540,83164,10037.05,,,,,,
1988,111026,57201,53825,28661,82365,9633.79,,,,,,
1987,109300,56290,53010,27674,81626,8660.79,,,,,,
1986,107507,55581,51926,26366,81141,7754.39,,,,,,
1985,105851,54725,51126,25094,80757,7118.05,,,,,,
1984,104357,53848,50509,24017,80340,6274.54,,,,,,
1983,103008,53152,49856,22274,80734,5449.53,,,,,,
1982,101654,52352,49302,21480,80174,4916.78,,,,,,
1981,100072,51519,48553,20171,79901,4513.53,,,,,,
1980,98705,50785,47920,19140,79565,4291.55,,,,,,
1979,97542,50192,47350,18495,79047,3980.78,,,,,,
1978,96259,49567,46692,17245,79014,3699.61,,,,,,
1977,94974,48908,46066,16669,78305,3312.1,,,,,,
1976,93717,48257,45460,16341,77376,3078.16,,,,,,
1975,92420,47564,44856,16030,76390,3128.21,,,,,,
1974,90859,46727,44132,15595,75264,2877.84,,,,,,
1973,89211,45876,43335,15345,73866,2811.13,,,,,,
1972,87177,44813,42364,14935,72242,2609.59,,,,,,
1971,85229,43819,41410,14711,70518,2514.05,,,,,,
1970,82992,42686,40306,14424,68568,2347.39,,,,,,
1969,80671,41289,39382,14117,66554,1967.63,,,,,,
1968,78534,40226,38308,13838,64696,1683.18,,,,,,
1967,76368,39115,37253,13548,62820,1755.14,,,,,,
1966,74542,38189,36353,13313,61229,1861.23,,,,,,
1965,72538,37128,35410,13045,59493,1681.33,,,,,,
1964,70499,36142,34357,12950,57549,1437.03,,,,,,
1963,69172,35533,33639,11646,57526,1215.76,,,,,,
1962,67296,34517,32778,11659,55636,1102.23,,,,,,
1961,65859,33880,31979,12707,53152,1167.62,,,,,,
1960,66207,34283,31924,13073,53134,1606.08,,,,,,
1959,67207,34890,32317,12371,54836,1606.08,,,,,,
1958,65994,34195,31799,10721,55273,1473.47,,,,,,
1957,64653,33469,31184,9949,54704,1214.73,,,,,,
1956,62828,32536,30292,9185,53643,1155.78,,,,,,
1955,61465,31809,29656,8285,53180,1005.03,,,,,,
1954,60266,31242,29024,8249,52017,940.16,,,,,,
1953,58796,30468,28328,7826,50970,901.4,,,,,,
1952,57482,29833,27649,7163,50319,779.76,,,,,,
1951,56300,29231,27069,6632,49668,693.47,,,,,,
1950,55196,28669,26527,6169,49027,572.23,,,,,,
1949,54167,28145,26022,5765,48402,466,,,,,,
