Province,GDP,Urbanization Rate
Beijing,164889,87.55
Shanghai,155768,89.3
jiangsu,121231,73.44
Fujian,105818,68.75
Tianjin,101614,84.7
Zhejiang,100620,72.17
Guangdong,88210,74.15
Chongqing,78170,69.46
Hubei,74440,62.89
Shandong,72151,63.05
Inner Mongolia,72062,67.48
Shaanxi,66292,62.66
Anhui,63426,58.33
Hunan,62900,58.76
Liaoning,58872,72.14
Sichuan,58126,56.73
Jiangxi,56871,50.05
Henan,55435,55.43
Hainan,55131,60.27
Ningxia,54528,64.96
Xinjiang,53593,56.53
Tibet,52345,35.73
Yunnan,51975,50.05
Qinghai,50819,60.08
Jilin,50800,62.64
Shanxi,50528,62.53
Hebei,48267,60.07
Guizhou,46267,53.15
Guangxi,44309,54.2
Heilongjiang,42635,65.61
Gansu,35995,52.23
